,id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,arrival,departure
25857,312775.0,IR-0017,closed,Khour Airport,32.861803,58.424593,,AS,IR,IR-29,,no,,,,,,,0,0
25858,35276.0,IR-GSM,small_airport,Qeshm International Airport,26.754639,55.902353,45.0,AS,IR,IR-23,Qeshm,yes,OIKQ,GSM,,,https://en.wikipedia.org/wiki/Qeshm_International_Airport,,0,0
25859,3351.0,IR-OI21,small_airport,Semnan New Airport,35.38940048,53.67139816,3659.0,AS,IR,IR-12,,no,OI21,,OI21,,,,0,0
25860,3352.0,IR-OI24,small_airport,Gonbad Ghabus Airport,37.24610138,55.09590149,107.0,AS,IR,IR-27,,no,OI24,,OI24,,,,0,0
39941,3345.0,OI03,small_airport,Garmcar Sw Airport,35.17419815,52.32329941,2717.0,AS,IR,IR-12,,no,OI03,,OI03,,,,0,0
39948,3347.0,OI13,small_airport,Mahmudabad Airport,30.0,53.71149826,6970.0,AS,IR,IR-14,,no,OI13,,OI13,,,,0,0
39949,3348.0,OI19,small_airport,Firuzabad Airport,35.5298996,51.50579834,3258.0,AS,IR,IR-07,,no,OI19,,OI19,,,,0,0
39950,3349.0,OI1C,small_airport,Mehtar Kalateh Airport,36.85689926,54.20220184,-64.0,AS,IR,IR-27,,no,OI1C,,OI1C,,,,0,0
39951,3350.0,OI20,small_airport,Bahregan Airport,29.840099,50.272701,20.0,AS,IR,IR-06,,no,OI20,IAQ,OI20,,,,0,0
40026,5130.0,OIAA,medium_airport,Abadan Airport,30.37109947,48.22829819,10.0,AS,IR,IR-10,Abadan,yes,OIAA,ABD,,,https://en.wikipedia.org/wiki/Abadan_Airport,,63,61
40027,5131.0,OIAD,small_airport,Dezful Airport,32.434399,48.397598,474.0,AS,IR,IR-10,,yes,OIAD,DEF,,,https://en.wikipedia.org/wiki/Dezful_Airport,Vahdati Air Base,0,6
40028,5132.0,OIAG,medium_airport,Aghajari Airport,30.7444,49.6772,88.0,AS,IR,IR-10,Aghajari,no,OIAG,AKW,,,https://en.wikipedia.org/wiki/Aghajari_Airport,,0,0
40029,5133.0,OIAH,medium_airport,Gachsaran Airport,30.33760071,50.82799912,2414.0,AS,IR,IR-18,Gachsaran,no,OIAH,GCH,,,,,0,4
40030,5134.0,OIAI,medium_airport,Shahid Asyaee Airport,32.00239944,49.270401,1206.0,AS,IR,IR-10,,no,OIAI,,,,,,0,0
40031,5135.0,OIAJ,small_airport,Omidiyeh Airport,30.83519936,49.53490067,85.0,AS,IR,IR-10,Omidiyeh,no,OIAJ,OMI,,,,,0,0
40032,5136.0,OIAM,medium_airport,Mahshahr Airport,30.55620003,49.15190125,8.0,AS,IR,IR-10,,yes,OIAM,MRX,,,https://en.wikipedia.org/wiki/Mahshahr_Airport,,0,4
